Ativo,Data,Abertura,Máximo,Mínimo,Fechamento,Volume,Quantidade
WINJ20,15/04/2020,78050,80120,77605,79400,15582069196.00,989953
WINJ20,14/04/2020,80290,81725,79800,80185,180766602856.00,11191069
WINJ20,13/04/2020,77520,79345,76315,79255,206407226245.00,13303853
WINJ20,09/04/2020,78510,80470,77420,78190,205427315721.00,13011716
WINJ20,08/04/2020,77050,79180,76115,79090,192020330975.00,12376798
WINJ20,07/04/2020,77800,79985,76070,76595,216094667072.00,13796891
WINJ20,06/04/2020,72650,75370,72150,74400,160246543346.00,10796056
WINJ20,03/04/2020,72450,73275,67710,69300,154209860236.00,11063620
WINJ20,02/04/2020,72810,74040,71010,72250,159680350278.00,11036750
WINJ20,01/04/2020,69925,71570,68870,71200,149743459373.00,10625357
WINJ20,31/03/2020,75100,75485,71880,71950,153010134553.00,10310565
WINJ20,30/03/2020,73400,75160,72820,75160,151520596483.00,10195830
WINJ20,27/03/2020,74760,75810,72500,73450,150050883882.00,10117765
WINJ20,26/03/2020,73100,78850,72215,77650,156521372895.00,10161881
WINJ20,25/03/2020,68510,76800,67740,74600,141116446868.00,9677961
WINJ20,24/03/2020,68380,71700,66670,69000,80441389962.00,5782298
WINJ20,23/03/2020,64240,69965,61900,63920,104283846846.00,8148760
WINJ20,20/03/2020,69805,72385,65780,66390,112627842393.00,8133013
WINJ20,19/03/2020,66150,70060,61450,65500,62303224852.00,4707757
WINJ20,18/03/2020,67255,70300,63520,68100,33888891228.00,2508849
WINJ20,17/03/2020,70625,77410,70600,73300,81271649374.00,5456038
WINJ20,16/03/2020,74415,76425,70280,70280,49064564436.00,3356663
WINJ20,13/03/2020,79300,82940,72510,80020,45368178760.00,2892333
WINJ20,12/03/2020,76365,76365,72125,72125,4905760097.00,338277
WINJ20,11/03/2020,89600,90680,80540,80580,196817039056.00,11249393
WINJ20,10/03/2020,90665,92780,87355,92625,224603062527.00,12517084
WINJ20,09/03/2020,88540,90890,86080,86080,87222976885.00,4897344
WINJ20,06/03/2020,99090,99805,97165,98040,303022166328.00,15398343
